Area,Year,"Consumer Prices, Food Indices (2015 = 100)","Consumer Prices, General Indices (2015 = 100)",Food price inflation
Myanmar,2006,35.95435066666667,41.35755066666666,15.578687249999996
Myanmar,2007,46.41805691666667,55.84286625000001,28.885055250000004
Myanmar,2008,61.02902358333335,70.80849608333332,31.614603416666668
Myanmar,2009,70.61603825,71.85104,16.230458916666663
Myanmar,2010,73.33459275000001,77.39677775,3.8502414166666665
Myanmar,2011,76.05314716666666,81.28322608333333,3.7074777500000002
Myanmar,2012,78.77170174999999,82.47612500000001,3.57492375
Myanmar,2013,82.85344008333333,87.13028474999999,5.159165333333333
Myanmar,2014,88.55862508333333,91.44610858333333,6.931077750000001
Myanmar,2015,100.18520333333333,100.09158074999999,13.05069425
Myanmar,2016,109.42877533333335,107.02675141666668,9.427205833333334
Myanmar,2017,114.23840433333334,111.92058883333333,4.484645583333333
Myanmar,2018,121.75126675,119.61213966666666,6.561484916666668
Myanmar,2019,132.71482899999998,130.167991,9.023918333333334
Myanmar,2020,136.44571025,135.09810199999998,2.8597389166666667
Myanmar,2021,140.81617322222223,140.4650945555556,3.5354158888888887
Philippines,2000,50.998265333333315,55.13615675,
Philippines,2001,52.837494166666666,58.11503166666668,3.6137593333333338
Philippines,2002,53.89155491666667,59.6973715,1.9967001666666666
Philippines,2003,54.42934108333335,61.0519505,0.9982192500000001
Philippines,2004,57.720592666666654,63.97688208333333,6.034824583333332
Philippines,2005,61.37753891666667,68.19645525,6.356637833333334
Philippines,2006,64.5450995,71.92454408333333,5.1698045
Philippines,2007,66.93824816666667,74.04032441666666,3.7032716666666663
Philippines,2008,75.60736166666666,80.09996741666666,12.930978083333335
Philippines,2009,80.35601383333334,83.47442724999998,6.404638333333334
Philippines,2010,83.55584183333333,86.63311333333333,3.984467666666667
Philippines,2011,88.13240225,90.72082475,5.483604499999999
Philippines,2012,90.49192699999999,93.46691158333333,2.6761668333333333
Philippines,2013,92.79193016666666,95.88087008333332,2.5409804166666667
Philippines,2014,98.14603566666665,99.33049433333333,5.77024425
Philippines,2015,100.00112033333335,100.00017325,1.9137715000000002
Philippines,2016,101.58472908333333,101.25387416666668,1.5823200833333333
Philippines,2017,104.68407758333332,104.14283725,3.050305416666666
Philippines,2018,111.85556274999999,109.57035016666664,6.841128833333333
Philippines,2019,114.16310691666665,112.28800008333333,2.1069521666666664
Philippines,2020,117.28507841666668,115.247046,2.732037416666667
Philippines,2021,123.0891298888889,119.8465451111111,5.5814538888888885
Singapore,2000,72.30195075,75.25475908333333,
Singapore,2001,72.67540749999999,76.00519783333334,0.516552
Singapore,2002,72.83746500000002,75.70750341666667,0.22318441666666666
Singapore,2003,73.07686775,76.09202558333335,0.32868116666666664
Singapore,2004,74.09341,77.35722841666666,1.3903365
Singapore,2005,72.3939395,77.68273,-2.2917994999999998
Singapore,2006,73.81223841666667,78.43073833333332,1.9596963333333335
Singapore,2007,76.79215275000001,80.08161125,4.031099166666667
Singapore,2008,84.25423516666666,85.38924575,9.732986666666667
Singapore,2009,86.37982591666668,85.89878058333335,2.5671424166666665
Singapore,2010,88.39792949999999,88.32427133333334,2.339372416666667
Singapore,2011,91.54548841666667,92.95934658333334,3.5623071666666664
Singapore,2012,93.78511291666668,97.21279691666666,2.4500005833333334
Singapore,2013,95.95555633333332,99.50566191666665,2.3162909166666665
Singapore,2014,98.79082725,100.52574241666666,2.9564644999999996
Singapore,2015,100.00087566666669,100.0003765,1.2287415833333333
Singapore,2016,102.30233824999999,99.46810566666664,2.30281025
Singapore,2017,103.62022741666668,100.04130108333334,1.2884244166666665
Singapore,2018,104.96085283333332,100.4801025,1.2940671666666665
Singapore,2019,106.16010825,101.04807666666666,1.1428373333333333
Singapore,2020,109.23698200000001,100.8642535,2.9000233333333334
Singapore,2021,110.59842622222224,102.62858088888889,1.3001922222222222
Viet Nam,2000,26.36446166666667,33.300455916666664,
Viet Nam,2001,25.69532375,33.15674958333333,-2.530146583333333
Viet Nam,2002,26.508756916666666,34.393126333333335,3.169549083333333
Viet Nam,2003,27.178685416666664,35.50562283333333,2.5348580833333334
Viet Nam,2004,30.577242916666666,38.259065666666665,12.53350725
Viet Nam,2005,33.993396,41.4286655,11.240448666666666
Viet Nam,2006,36.93270166666666,44.50185099999999,8.663434166666667
Viet Nam,2007,41.08506008333333,48.21528508333333,11.200887833333333
Viet Nam,2008,56.2464355,59.3604645,36.79060925000001
Viet Nam,2009,60.946299833333335,63.347696833333345,9.030704083333333
Viet Nam,2010,67.50421216666668,69.18041458333333,10.73475475
Viet Nam,2011,85.52037066666666,82.10174733333334,26.6423995
Viet Nam,2012,92.27338441666666,89.56865775,8.389524833333335
Viet Nam,2013,94.75282708333333,95.47362791666666,2.6918884999999997
Viet Nam,2014,98.542951,99.37330016666665,4.007883333333335
Viet Nam,2015,100.00024691666668,100.00054558333333,1.4826798333333333
Viet Nam,2016,102.36362391666667,102.66880816666668,2.3631803333333337
Viet Nam,2017,101.25854866666667,106.283014,-1.0726094166666664
Viet Nam,2018,104.53662833333333,110.04503725000002,3.2546765
Viet Nam,2019,108.79717516666669,113.12170258333333,4.078946833333333
Viet Nam,2020,119.62833183333333,116.76527841666666,10.02097525
Viet Nam,2021,120.71193544444445,118.825924,0.907349888888889
