Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","5304","South-eastern Asia","513","Total Population - Female","3010","Population - Est. & Proj.","2011","2011","1000 persons","302261.763","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","551","Rural population","3010","Population - Est. & Proj.","2011","2011","1000 persons","333104.994","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","561","Urban population","3010","Population - Est. & Proj.","2011","2011","1000 persons","271608.316","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2012","2012","1000 persons","611910.589","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","512","Total Population - Male","3010","Population - Est. & Proj.","2012","2012","1000 persons","305884.147","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","513","Total Population - Female","3010","Population - Est. & Proj.","2012","2012","1000 persons","306026.442","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","551","Rural population","3010","Population - Est. & Proj.","2012","2012","1000 persons","333751.005","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","561","Urban population","3010","Population - Est. & Proj.","2012","2012","1000 persons","278471.2","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2013","2013","1000 persons","619474.451","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","512","Total Population - Male","3010","Population - Est. & Proj.","2013","2013","1000 persons","309630.514","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","513","Total Population - Female","3010","Population - Est. & Proj.","2013","2013","1000 persons","309843.923","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","551","Rural population","3010","Population - Est. & Proj.","2013","2013","1000 persons","334360.502","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","561","Urban population","3010","Population - Est. & Proj.","2013","2013","1000 persons","285416.671","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2014","2014","1000 persons","626965.224","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","512","Total Population - Male","3010","Population - Est. & Proj.","2014","2014","1000 persons","313327.222","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","513","Total Population - Female","3010","Population - Est. & Proj.","2014","2014","1000 persons","313638.019","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","551","Rural population","3010","Population - Est. & Proj.","2014","2014","1000 persons","334858.368","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","561","Urban population","3010","Population - Est. & Proj.","2014","2014","1000 persons","292408.93","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 persons","634305.704","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","512","Total Population - Male","3010","Population - Est. & Proj.","2015","2015","1000 persons","316953.785","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","513","Total Population - Female","3010","Population - Est. & Proj.","2015","2015","1000 persons","317351.914","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","551","Rural population","3010","Population - Est. & Proj.","2015","2015","1000 persons","335198.041","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","561","Urban population","3010","Population - Est. & Proj.","2015","2015","1000 persons","299411.805","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2016","2016","1000 persons","641466.642","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","512","Total Population - Male","3010","Population - Est. & Proj.","2016","2016","1000 persons","320499.46","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","513","Total Population - Female","3010","Population - Est. & Proj.","2016","2016","1000 persons","320967.18","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","551","Rural population","3010","Population - Est. & Proj.","2016","2016","1000 persons","335370.543","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","561","Urban population","3010","Population - Est. & Proj.","2016","2016","1000 persons","306405.254","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","648459.731","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","512","Total Population - Male","3010","Population - Est. & Proj.","2017","2017","1000 persons","323964.377","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","513","Total Population - Female","3010","Population - Est. & Proj.","2017","2017","1000 persons","324495.376","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","551","Rural population","3010","Population - Est. & Proj.","2017","2017","1000 persons","335388.462","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","561","Urban population","3010","Population - Est. & Proj.","2017","2017","1000 persons","313391.578","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","655298.44","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","327352.512","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","327945.926","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","335254.479","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","320382.097","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 persons","662011.806","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 persons","330672.968","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 persons","331338.878","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 persons","334987.132","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 persons","327388.162","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","668619.84","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 persons","333931.707","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 persons","334688.147","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 persons","334597.416","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 persons","334418.881","A","Aggregate, may include official, semi-official, estimated or calculated data",""
