Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","035","South-eastern Asia","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","48.360003","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","50.759309","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","54.732035","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","58.166235","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","65.870078","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","71.427254","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","74.647139","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","81.238122","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","85.330334","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","90.105532","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","94.851535","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","98.431987","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","103.159559","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","105.395021","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","109.093501","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","110.909349","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","116.637733","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","119.116299","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","42.718753","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","43.87099","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","45.467399","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","46.326012","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","48.641088","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","50.955623","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","54.937172","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","58.309448","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","67.267828","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","71.476088","A","Aggregate, may include official, semi-official, estimated or calculated data",""
